Fold,Accuracy,Kappa,N_Samples
1,0.5825471698113207,0.16509433962264153,848
2,0.5766509433962265,0.15330188679245282,848
3,0.5695754716981132,0.13915094339622647,848
4,0.5872641509433962,0.17452830188679247,848
5,0.5625,0.125,848
