Fold,Train_Accuracy,Train_Kappa
1,0.6069711538461539,0.2139423076923077
2,0.6021634615384616,0.20432692307692313
3,0.6057692307692307,0.21153846153846156
4,0.6117788461538461,0.2235576923076923
5,0.6213942307692307,0.24278846153846156
