Fold,Test_Accuracy,Test_Kappa
1,0.3103448275862069,0.07973026576755249
2,0.3448275862068966,0.12643678160919536
3,0.3448275862068966,0.1260904044409198
4,0.2982456140350877,0.06365503080082136
5,0.3508771929824561,0.1345917111202296
