CSP_Fractal,CSP_LogPower
0.1329892667760871,0.0010765178131214
0.0473236867340668,0.2270726216790428
0.8026951118660428,0.999801772990376
0.3670812107833204,0.0269996086084538
0.2525866136693168,0.7859555174966587
0.0991386249205574,0.999361807978366
0.782851809985494,0.869540594658017
0.8125498626728025,0.999989226122562
0.6087547165510845,0.8322056876898003
0.2475296367803318,0.9979681822137232
0.7964293284362547,0.9508562190650252
0.9829467369352076,0.9997282899712244
0.9997147257792977,0.99998280820707
0.9754015469157682,0.9985450206813604
0.9586069898644992,0.9972233032345724
0.9698734458233976,0.9999918109729056
0.9866950146330584,0.9026533581997168
0.9872765788748892,0.9999998493247156
0.5352360458316539,0.6292357365156281
0.8352717892534661,0.8753152288866598
0.5734543270206924,0.9834215721287506
0.953141510755276,0.9389530242688914
0.8722107216541327,0.9801108227832754
0.8971160699264868,0.9048409899654096
0.9447524938275556,0.9097922964597632
0.9192746421142995,0.0863622144732156
0.8044537259663316,0.0025187541062638
0.4711798202730356,0.0069324825168688
0.3039930602646488,0.9834824328209264
0.5360482567813758,0.9999998407174772
0.9755946317741554,0.9872238834741116
0.8636563653172493,0.9180517339961564
0.74130336447993,0.999900302401446
0.4545924120244988,0.606501895667668
0.6492655570819585,0.9991115074195164
0.6630744456760345,0.0002496633286933
0.3466038404502374,1.327733958222943e-05
0.999907684712156,0.998912363046852
0.997338631777376,0.6246783937691189
0.9750506510042068,0.9999792793517828
0.5821644356747728,0.9164681399291016
0.80172625546589,0.9570557190084223
0.806792159985792,0.186617416321044
0.9481102807035864,0.0823710115853816
0.7398720225529218,0.9999981240606678
0.8344652259711837,0.999995431636623
0.4143047873038931,0.9999798815910412
0.8163399493511884,0.9999914438664756
0.8857334794169713,0.9987439402053908
0.5498213245759265,0.991353327306828
0.2727274546119776,0.8884943367259092
0.4176839060082775,0.4114506599632415
0.5453274354737909,0.9998642963628156
0.9948152789005305,0.9999891352622166
0.9933991741156976,0.9999935143738892
