Subject,Accuracy,Kappa,N_Samples
P01,0.775,0.55,80
P02,0.871875,0.74375,80
P03,0.796875,0.59375,80
P04,0.865625,0.73125,80
P05,0.85625,0.7125,80
P06,0.86875,0.7375,80
P07,0.7625,0.525,80
P08,0.7125,0.425,80
P09,0.75,0.5,80
