Fold,Train_Accuracy,Train_Kappa
1,0.9217391304347826,0.843395369950068
2,0.8782608695652174,0.7563559322033898
3,0.8956521739130435,0.7914147521160823
4,0.8869565217391304,0.7739301376077423
5,0.8275862068965517,0.6551724137931034
