Subject,Accuracy,Kappa,N_Samples
P01,0.771875,0.54375,4096
P02,0.825,0.65,4096
P03,0.7875,0.575,4096
P04,0.83125,0.6625,4096
P05,0.78125,0.5625,4096
P06,0.846875,0.69375,4096
P07,0.690625,0.38125,4096
P08,0.725,0.45,4096
P09,0.734375,0.46875,4096
