Subject,Accuracy,Kappa,N_Samples
P01,0.75,0.5,4096
P02,0.7375,0.475,4096
P03,0.7125,0.425,4096
P04,0.7625,0.525,4096
P05,0.7,0.4,4096
P06,0.8,0.6,4096
P07,0.575,0.15,4096
P08,0.575,0.15,4096
P09,0.6375,0.275,4096
