Subject,Accuracy,Kappa,N_Trials,N_Channels,N_Samples,N_Features
P01,0.75,0.5,80,12,4096,12
P02,0.725,0.45,80,12,4096,12
P03,0.675,0.35,80,12,4096,12
P04,0.75,0.5,80,12,4096,12
P05,0.725,0.45,80,12,4096,12
P06,0.8125,0.625,80,12,4096,12
P07,0.625,0.25,80,12,4096,12
P08,0.7125,0.425,80,12,4096,12
P09,0.725,0.45,80,12,4096,12
