Subject,Accuracy,Kappa,N_Trials,N_Channels,N_Samples,N_Features
P01,0.5391304347826087,0.07826086956521738,920,3,1000,4
P02,0.496875,-0.00625,960,3,1000,4
P03,0.5057692307692307,0.011538461538461563,1040,3,1000,4
P04,0.5358490566037737,0.07169811320754715,1060,3,1000,4
P05,0.5283783783783783,0.05675675675675675,740,3,1000,4
P06,0.5240384615384615,0.04807692307692304,1040,3,1000,4
P07,0.5115384615384616,0.023076923076923106,1040,3,1000,4
P08,0.512962962962963,0.025925925925925908,1080,3,1000,4
P09,0.5307692307692308,0.06153846153846152,1040,3,1000,4
