Fold,Accuracy,Kappa,N_Samples
1,0.8275862068965517,0.6522781774580335,29
2,0.7586206896551724,0.513189448441247,29
3,0.7931034482758621,0.5857142857142856,29
4,0.7931034482758621,0.5876777251184835,29
5,0.8571428571428571,0.7142857142857143,28
