Subject,Accuracy,Kappa,N_Trials,N_Channels,N_Samples,N_Features
P01,0.48695652173913045,-0.02608695652173911,920,1,1000,3
P02,0.5041666666666667,0.008333333333333349,960,1,1000,3
P03,0.49519230769230765,-0.009615384615384626,1040,1,1000,3
P04,0.470754716981132,-0.05849056603773588,1060,1,1000,3
P05,0.4797297297297297,-0.04054054054054057,740,1,1000,3
P06,0.47019230769230774,-0.059615384615384626,1040,1,1000,3
P07,0.5067307692307692,0.013461538461538459,1040,1,1000,3
P08,0.48240740740740745,-0.03518518518518521,1080,1,1000,3
P09,0.5115384615384615,0.023076923076923085,1040,1,1000,3
