Fold,Train_Accuracy,Train_Kappa
1,0.7130434782608696,0.42630385487528344
2,0.6869565217391305,0.37405503477472024
3,0.6956521739130435,0.3909819942502648
4,0.6869565217391305,0.3732970027247957
5,0.7327586206896551,0.4655172413793104
