Fold,Test_Accuracy,Test_Kappa
1,0.7931034482758621,0.5857142857142856
2,0.896551724137931,0.7933491686460807
3,0.8620689655172413,0.7224880382775121
4,0.7241379310344828,0.4528301886792453
5,0.5357142857142857,0.0714285714285714
