Fold,Train_Accuracy,Train_Kappa
1,0.6608695652173913,0.3222003929273084
2,0.6260869565217392,0.2524565381708239
3,0.6521739130434783,0.30366333636088405
4,0.6260869565217392,0.2517778786503253
5,0.6551724137931034,0.31034482758620685
