Fold,Accuracy,Kappa,N_Samples
1,0.6086956521739131,0.21863203986109003,115
2,0.5826086956521739,0.16616314199395765,115
3,0.6,0.19945520581113807,115
4,0.5826086956521739,0.16388973038473198,115
5,0.603448275862069,0.2068965517241379,116
