Dataset,Método,Acurácia_Média,Acurácia_Desvio,Acurácia_Min,Acurácia_Max,Kappa_Médio,Kappa_Desvio,N_Sujeitos
wcci2020,Fractal_Puro,0.5472222222222222,0.049922779876698395,0.4625,0.6375,0.09444444444444444,0.09984555975339683,9
wcci2020,LogPower_Puro,0.765277777777778,0.05766816525562969,0.675,0.8375,0.5305555555555554,0.11533633051125944,9
wcci2020,CSP_+_Fractal,0.8111111111111111,0.040157867485558225,0.7375,0.875,0.6222222222222222,0.08031573497111645,9
wcci2020,CSP_+_LogPower,0.7194444444444444,0.11228546073004299,0.5625,0.875,0.4388888888888889,0.22457092146008595,9
wcci2020,FBCSP_+_Pure,0.7513888888888888,0.10548243081137515,0.6,0.9375,0.5027777777777778,0.21096486162275027,9
wcci2020,FBCSP_+_LogPower,0.8013888888888889,0.08709119670328268,0.625,0.9625,0.6027777777777779,0.17418239340656538,9
wcci2020,FBCSP_+_Fractal,0.8416666666666667,0.05335936864527374,0.775,0.9375,0.6833333333333333,0.10671873729054747,9
