Fold,Accuracy,Kappa,N_Samples
1,0.5172413793103449,0.033333333333333326,29
2,0.41379310344827586,-0.1545667447306791,29
3,0.5517241379310345,0.0915662650602409,29
4,0.6551724137931034,0.30622009569377995,29
5,0.7142857142857143,0.4285714285714286,28
