Fold,Accuracy,Kappa
1,0.6057692307692307,0.21153846153846156
2,0.5192307692307693,0.038461538461538436
3,0.5961538461538461,0.1923076923076923
4,0.5721153846153846,0.14423076923076927
5,0.5673076923076923,0.13461538461538458
