Fold,Accuracy,Kappa
1,0.5208333333333334,0.04166666666666663
2,0.5885416666666666,0.17708333333333337
3,0.5572916666666666,0.11458333333333337
4,0.53125,0.0625
5,0.5364583333333334,0.07291666666666663
