Fold,Accuracy,Kappa
1,0.5528846153846154,0.10576923076923073
2,0.5240384615384616,0.04807692307692313
3,0.5096153846153846,0.019230769230769273
4,0.5288461538461539,0.05769230769230771
5,0.5528846153846154,0.10576923076923073
