Fold,Accuracy,Kappa
1,0.5336538461538461,0.06730769230769229
2,0.5384615384615384,0.07692307692307687
3,0.5576923076923077,0.11538461538461542
4,0.5769230769230769,0.15384615384615385
5,0.5288461538461539,0.05769230769230771
