Fold,Accuracy,Kappa
1,0.4782608695652174,-0.04347826086956519
2,0.42391304347826086,-0.15217391304347827
3,0.5,0.0
4,0.5597826086956522,0.11956521739130432
5,0.4945652173913043,-0.010869565217391353
