Subject,Accuracy,Kappa,N_Trials,N_Channels,N_Samples,N_Features
P01,0.2599516031457955,0.014004019271272882,288,25,1000,25
P02,0.2602540834845735,0.0144168273631615,288,25,1000,25
P03,0.24627949183303083,-0.005174069064657294,288,25,1000,25
P04,0.2986085904416213,0.06561796893705274,288,25,985,25
P05,0.2675741076830006,0.024490171682698382,288,25,1000,25
P06,0.24676346037507563,-0.003923291208878088,288,25,1000,25
P07,0.25323653962492443,0.0046400180953703575,288,25,1000,25
P08,0.22921960072595282,-0.027918697702148165,288,25,1000,25
P09,0.26376285541439803,0.01919781193186123,288,25,1000,25
