Subject,Accuracy,Kappa,N_Samples
P01,0.5682692307692307,0.13653846153846155,1000
P02,0.5708333333333333,0.14166666666666666,1000
P03,0.5201923076923077,0.040384615384615394,1000
P04,0.6481132075471698,0.2962264150943396,1000
P05,0.6471698113207547,0.2943396226415095,1000
P06,0.5923076923076923,0.1846153846153846,1000
P07,0.6134615384615385,0.22692307692307692,1000
P08,0.5898148148148149,0.17962962962962964,1000
P09,0.5740384615384615,0.14807692307692308,1000
