Fold,Test_Accuracy,Test_Kappa
1,0.5092592592592593,0.01851851851851849
2,0.6111111111111112,0.2222222222222222
3,0.6388888888888888,0.2777777777777778
4,0.5972222222222222,0.19444444444444442
5,0.6064814814814815,0.2129629629629629
