Fold,Test_Accuracy,Test_Kappa
1,0.2413793103448276,-0.010693069306930703
2,0.25862068965517243,0.012277227722772288
3,0.2413793103448276,-0.011093502377178988
4,0.19298245614035087,-0.07635467980295552
5,0.22807017543859648,-0.029556650246305383
