Subject,Accuracy,Kappa,N_Samples
P01,0.8625,0.725,4096
P02,0.9,0.8,4096
P03,0.7875,0.575,4096
P04,0.8625,0.725,4096
P05,0.875,0.75,4096
P06,0.8625,0.725,4096
P07,0.7,0.4,4096
P08,0.8375,0.675,4096
P09,0.775,0.55,4096
