Fold,Accuracy,Kappa,N_Samples
1,0.5862068965517241,0.17535545023696686,29
2,0.6551724137931034,0.3160377358490566,29
3,0.7931034482758621,0.583732057416268,29
4,0.6896551724137931,0.3770883054892602,29
5,0.8214285714285714,0.6428571428571428,28
