Fold,Test_Accuracy,Test_Kappa
1,0.5480769230769231,0.09615384615384615
2,0.46634615384615385,-0.06730769230769229
3,0.5240384615384616,0.04807692307692313
4,0.49038461538461536,-0.019230769230769162
5,0.5288461538461539,0.05769230769230771
