Subject,Accuracy,Kappa,N_Trials,N_Channels,N_Samples,N_Features
P01,0.5625,0.125,80,12,4096,12
P02,0.4625,-0.075,80,12,4096,12
P03,0.525,0.05,80,12,4096,12
P04,0.6125,0.225,80,12,4096,12
P05,0.5125,0.025,80,12,4096,12
P06,0.5875,0.175,80,12,4096,12
P07,0.4625,-0.075,80,12,4096,12
P08,0.65,0.3,80,12,4096,12
P09,0.6,0.2,80,12,4096,12
