Subject,Accuracy,Kappa,N_Samples
P01,0.5625,0.125,4096
P02,0.4625,-0.075,4096
P03,0.525,0.05,4096
P04,0.6125,0.225,4096
P05,0.5125,0.025,4096
P06,0.5875,0.175,4096
P07,0.4625,-0.075,4096
P08,0.65,0.3,4096
P09,0.6,0.2,4096
