Fold,Accuracy,Kappa,N_Samples
1,0.5601851851851852,0.12037037037037035,216
2,0.5648148148148148,0.12962962962962965,216
3,0.5648148148148148,0.12962962962962965,216
4,0.5416666666666666,0.08333333333333337,216
5,0.46296296296296297,-0.07407407407407418,216
