Fold,Train_Accuracy,Train_Kappa
1,0.5576923076923077,0.11538461538461542
2,0.5649038461538461,0.1298076923076923
3,0.5757211538461539,0.1514423076923077
4,0.5841346153846154,0.16826923076923073
5,0.5552884615384616,0.11057692307692313
