Fold,Accuracy,Kappa,N_Samples
1,0.5625,0.125,832
2,0.5733173076923077,0.14663461538461542,832
3,0.5552884615384616,0.11057692307692313,832
4,0.5877403846153846,0.17548076923076927,832
5,0.5625,0.125,832
