Subject,Accuracy,Kappa,N_Trials,N_Channels,N_Samples,N_Features
P01,0.5152173913043478,0.0304347826086957,920,3,1000,3
P02,0.5052083333333333,0.010416666666666675,960,3,1000,3
P03,0.49326923076923074,-0.013461538461538414,1040,3,1000,3
P04,0.5528301886792454,0.10566037735849054,1060,3,1000,3
P05,0.5108108108108109,0.021621621621621623,740,3,1000,3
P06,0.5375,0.07499999999999998,1040,3,1000,3
P07,0.4875,-0.025,1040,3,1000,3
P08,0.5296296296296296,0.059259259259259275,1080,3,1000,3
P09,0.5625,0.125,1040,3,1000,3
